column,operator,threshold,total,defects,defect_rate_pct,share_of_all_defects_pct,min_value_in_condition,max_value_in_condition
A_Cushion_Position,>,3.69,32,32,100.0,0.8658008658008658,4.14,15.07
A_Cushion_Position,>=,4.14,32,32,100.0,0.8658008658008658,4.14,15.07
A_Cushion_Position,>,4.14,30,30,100.0,0.8116883116883116,5.0,15.07
A_Cushion_Position,>=,5.0,30,30,100.0,0.8116883116883116,5.0,15.07
A_Cushion_Position,>,5.0,29,29,100.0,0.7846320346320346,5.81,15.07
A_Cushion_Position,>=,5.81,29,29,100.0,0.7846320346320346,5.81,15.07
A_Cushion_Position,>,5.81,27,27,100.0,0.7305194805194805,5.84,15.07
A_Cushion_Position,>=,5.84,27,27,100.0,0.7305194805194805,5.84,15.07
A_Cushion_Position,>,5.84,26,26,100.0,0.7034632034632035,6.21,15.07
A_Cushion_Position,>=,6.21,26,26,100.0,0.7034632034632035,6.21,15.07
A_Cushion_Position,>,6.21,25,25,100.0,0.6764069264069263,6.26,15.07
A_Cushion_Position,>=,6.26,25,25,100.0,0.6764069264069263,6.26,15.07
A_Cushion_Position,>,6.26,24,24,100.0,0.6493506493506493,6.32,15.07
A_Cushion_Position,>=,6.32,24,24,100.0,0.6493506493506493,6.32,15.07
A_Cushion_Position,>,6.32,22,22,100.0,0.5952380952380952,6.58,15.07
A_Cushion_Position,>=,6.58,22,22,100.0,0.5952380952380952,6.58,15.07
A_Cushion_Position,>,6.58,21,21,100.0,0.5681818181818182,6.93,15.07
A_Cushion_Position,>=,6.93,21,21,100.0,0.5681818181818182,6.93,15.07
A_Cushion_Position,>,6.93,20,20,100.0,0.5411255411255411,7.01,15.07
A_Cushion_Position,>=,7.01,20,20,100.0,0.5411255411255411,7.01,15.07
A_Cushion_Position,>,7.01,19,19,100.0,0.5140692640692641,7.21,15.07
A_Cushion_Position,>=,7.21,19,19,100.0,0.5140692640692641,7.21,15.07
A_Cushion_Position,>,7.21,18,18,100.0,0.487012987012987,7.66,15.07
A_Cushion_Position,>=,7.66,18,18,100.0,0.487012987012987,7.66,15.07
A_Cushion_Position,>,7.66,17,17,100.0,0.45995670995671,8.07,15.07
A_Cushion_Position,>=,8.07,17,17,100.0,0.45995670995671,8.07,15.07
A_Cushion_Position,>,8.07,16,16,100.0,0.4329004329004329,8.27,15.07
A_Cushion_Position,>=,8.27,16,16,100.0,0.4329004329004329,8.27,15.07
A_Cushion_Position,>,8.27,15,15,100.0,0.4058441558441558,8.82,15.07
A_Cushion_Position,>=,8.82,15,15,100.0,0.4058441558441558,8.82,15.07
A_Cushion_Position,>,8.82,13,13,100.0,0.35173160173160173,10.0,15.07
A_Cushion_Position,>=,10.0,13,13,100.0,0.35173160173160173,10.0,15.07
A_Cushion_Position,>,10.0,12,12,100.0,0.3246753246753247,10.57,15.07
A_Cushion_Position,>=,10.57,12,12,100.0,0.3246753246753247,10.57,15.07
A_Cushion_Position,>,10.57,11,11,100.0,0.2976190476190476,15.01,15.07
A_Cushion_Position,>=,15.01,11,11,100.0,0.2976190476190476,15.01,15.07
A_Cushion_Position,>,15.01,8,8,100.0,0.21645021645021645,15.02,15.07
A_Cushion_Position,>=,15.02,8,8,100.0,0.21645021645021645,15.02,15.07
A_Cushion_Position,>,15.02,7,7,100.0,0.1893939393939394,15.03,15.07
A_Cushion_Position,>=,15.03,7,7,100.0,0.1893939393939394,15.03,15.07
A_Cushion_Position,>,15.03,3,3,100.0,0.08116883116883117,15.04,15.07
A_Cushion_Position,>=,15.04,3,3,100.0,0.08116883116883117,15.04,15.07
A_Cushion_Position,>,15.04,1,1,100.0,0.027056277056277056,15.07,15.07
A_Cushion_Position,>=,15.07,1,1,100.0,0.027056277056277056,15.07,15.07
A_Average_Back_Pressure,<=,1.0,1,1,100.0,0.027056277056277056,1.0,1.0
A_Average_Back_Pressure,<=,3.0,2,2,100.0,0.05411255411255411,1.0,3.0
A_Average_Back_Pressure,<,3.0,1,1,100.0,0.027056277056277056,1.0,1.0
A_Average_Back_Pressure,<=,94.0,4,4,100.0,0.10822510822510822,1.0,94.0
A_Average_Back_Pressure,<,94.0,2,2,100.0,0.05411255411255411,1.0,3.0
A_Average_Back_Pressure,<,95.0,4,4,100.0,0.10822510822510822,1.0,94.0
A_Mold_Temperature_2,>,0.0,1,1,100.0,0.027056277056277056,111.0,111.0
