조건1,조건2,전체,불량,불량률,양품,신뢰구간용_표본,변수1,변수2
쿠션위치: [1.5890000000000002 ~ 2.0],금형온도2 = 0,7701,0,0.0,7701,7701,쿠션위치,금형온도2
쿠션위치: [1.5890000000000002 ~ 2.0],호퍼온도(외부): [29.999 ~ 82.5],7701,0,0.0,7701,7701,쿠션위치,호퍼온도(외부)
쿠션위치: [1.5890000000000002 ~ 2.0],보압시간1 = 1.0,7569,0,0.0,7569,7569,쿠션위치,보압시간1
쿠션위치: [1.5890000000000002 ~ 2.0],사출거리1 = 25,6950,0,0.0,6950,6950,쿠션위치,사출거리1
쿠션위치: [1.5890000000000002 ~ 2.0],호퍼수분율: [0.099 ~ 2.0],6492,0,0.0,6492,6492,쿠션위치,호퍼수분율
쿠션위치: [1.5890000000000002 ~ 2.0],강제후퇴위치2 = 3.0,6431,0,0.0,6431,6431,쿠션위치,강제후퇴위치2
쿠션위치: [1.5890000000000002 ~ 2.0],사출속도4 = 10.0,5628,0,0.0,5628,5628,쿠션위치,사출속도4
쿠션위치: [1.5890000000000002 ~ 2.0],금형하판온도: [19.0 ~ 20.4],5366,0,0.0,5366,5366,쿠션위치,금형하판온도
쿠션위치: [1.5890000000000002 ~ 2.0],금형상판온도: [35.0 ~ 38.4],4825,0,0.0,4825,4825,쿠션위치,금형상판온도
쿠션위치: [1.5890000000000002 ~ 2.0],현장온도 = 21,4807,0,0.0,4807,4807,쿠션위치,현장온도
쿠션위치: [1.5890000000000002 ~ 2.0],사출압력1 = 7.5,4800,0,0.0,4800,4800,쿠션위치,사출압력1
사출압력4: [3.1 ~ 3.2],강제후퇴위치2 = 3.0,4526,0,0.0,4526,4526,사출압력4,강제후퇴위치2
쿠션위치: [1.5890000000000002 ~ 2.0],히터온도2 = 223,4037,0,0.0,4037,4037,쿠션위치,히터온도2
쿠션위치: [1.5890000000000002 ~ 2.0],히터온도2 = 222,3641,0,0.0,3641,3641,쿠션위치,히터온도2
호퍼온도: [15.299000000000001 ~ 23.8],강제후퇴위치2 = 3.0,3557,0,0.0,3557,3557,호퍼온도,강제후퇴위치2
쿠션위치: [1.5890000000000002 ~ 2.0],최대사출속도 = 280.0,3446,0,0.0,3446,3446,쿠션위치,최대사출속도
강제후퇴위치2 = 3.0,금형상판온도: [30.999 ~ 35.0],3369,0,0.0,3369,3369,강제후퇴위치2,금형상판온도
평균배압: [122.0 ~ 125.0],히터온도2 = 223,3173,0,0.0,3173,3173,평균배압,히터온도2
최대사출속도 = 280.0,히터온도2 = 223,3106,0,0.0,3106,3106,최대사출속도,히터온도2
쿠션위치: [1.5890000000000002 ~ 2.0],최대사출속도 = 350.1,3063,0,0.0,3063,3063,쿠션위치,최대사출속도
사출압력4: [3.1 ~ 3.2],금형상판온도: [40.0 ~ 99.0],2984,0,0.0,2984,2984,사출압력4,금형상판온도
쿠션위치: [1.5890000000000002 ~ 2.0],사출압력1 = 8.0,2901,0,0.0,2901,2901,쿠션위치,사출압력1
사출압력4: [3.5 ~ 4.0],강제후퇴위치2 = 3.0,2837,0,0.0,2837,2837,사출압력4,강제후퇴위치2
최대사출속도 = 280.0,사출압력1 = 8.0,2701,0,0.0,2701,2701,최대사출속도,사출압력1
쿠션위치: [1.5890000000000002 ~ 2.0],사출압력4: [3.2 ~ 3.3],2698,0,0.0,2698,2698,쿠션위치,사출압력4
쿠션위치: [1.5890000000000002 ~ 2.0],사출압력4: [3.1 ~ 3.2],2516,0,0.0,2516,2516,쿠션위치,사출압력4
쿠션위치: [1.5890000000000002 ~ 2.0],금형상판온도: [40.0 ~ 99.0],2462,0,0.0,2462,2462,쿠션위치,금형상판온도
최대사출속도 = 280.0,사출압력4: [3.1 ~ 3.2],2440,0,0.0,2440,2440,최대사출속도,사출압력4
최대사출속도 = 349.9,평균배압: [122.0 ~ 125.0],2435,0,0.0,2435,2435,최대사출속도,평균배압
최대사출속도 = 349.9,호퍼온도: [31.8 ~ 32.8],2315,0,0.0,2315,2315,최대사출속도,호퍼온도
사출압력4: [3.1 ~ 3.2],현장온도 = 21,2311,0,0.0,2311,2311,사출압력4,현장온도
최대사출속도 = 280.0,금형상판온도: [40.0 ~ 99.0],2287,0,0.0,2287,2287,최대사출속도,금형상판온도
쿠션위치: [1.5890000000000002 ~ 2.0],평균배압: [136.0 ~ 145.0],2257,0,0.0,2257,2257,쿠션위치,평균배압
배럴온도4: [45.2 ~ 50.4],호퍼온도: [31.8 ~ 32.8],2149,0,0.0,2149,2149,배럴온도4,호퍼온도
쿠션위치: [2.04 ~ 2.06],배럴온도4: [45.2 ~ 50.4],2137,0,0.0,2137,2137,쿠션위치,배럴온도4
최대사출속도 = 280.0,현장온도 = 21,2129,0,0.0,2129,2129,최대사출속도,현장온도
사출압력4: [3.1 ~ 3.2],금형하판온도: [20.4 ~ 22.0],2123,0,0.0,2123,2123,사출압력4,금형하판온도
평균배압: [122.0 ~ 125.0],강제후퇴위치2 = 3.0,2104,0,0.0,2104,2104,평균배압,강제후퇴위치2
쿠션위치: [2.04 ~ 2.06],배럴온도4: [41.8 ~ 43.3],2086,0,0.0,2086,2086,쿠션위치,배럴온도4
평균배압: [122.0 ~ 125.0],현장온도 = 21,2068,0,0.0,2068,2068,평균배압,현장온도
배럴온도4: [43.3 ~ 45.2],현장온도 = 22,2065,0,0.0,2065,2065,배럴온도4,현장온도
쿠션위치: [2.19 ~ 2.24],강제후퇴위치2 = 3.0,2058,0,0.0,2058,2058,쿠션위치,강제후퇴위치2
쿠션위치: [2.04 ~ 2.06],금형온도1: [105.8 ~ 108.7],2055,0,0.0,2055,2055,쿠션위치,금형온도1
평균배압: [0.999 ~ 112.0],사출압력4: [3.1 ~ 3.2],2052,0,0.0,2052,2052,평균배압,사출압력4
최대사출속도 = 349.9,배럴온도3: [222.7 ~ 223.0],2039,0,0.0,2039,2039,최대사출속도,배럴온도3
사출속도4 = 10.0,사출거리1 = 29,2020,0,0.0,2020,2020,사출속도4,사출거리1
사출압력4: [3.1 ~ 3.2],사출거리1 = 29,2008,0,0.0,2008,2008,사출압력4,사출거리1
사출거리1 = 29,강제후퇴위치2 = 3.0,2008,0,0.0,2008,2008,사출거리1,강제후퇴위치2
쿠션위치: [2.0 ~ 2.04],최대사출속도 = 349.9,2005,0,0.0,2005,2005,쿠션위치,최대사출속도
쿠션위치: [1.5890000000000002 ~ 2.0],평균배압: [134.0 ~ 136.0],2003,0,0.0,2003,2003,쿠션위치,평균배압
사출속도4 = 9.0,강제후퇴위치2 = 3.0,1985,0,0.0,1985,1985,사출속도4,강제후퇴위치2
평균배압: [136.0 ~ 145.0],금형온도1: [105.8 ~ 108.7],1971,0,0.0,1971,1971,평균배압,금형온도1
쿠션위치: [1.5890000000000002 ~ 2.0],금형하판온도: [20.4 ~ 22.0],1954,0,0.0,1954,1954,쿠션위치,금형하판온도
금형상판온도: [40.0 ~ 99.0],금형하판온도: [20.4 ~ 22.0],1940,0,0.0,1940,1940,금형상판온도,금형하판온도
평균배압: [136.0 ~ 145.0],강제후퇴위치2 = 3.0,1939,0,0.0,1939,1939,평균배압,강제후퇴위치2
호퍼온도: [31.8 ~ 32.8],금형온도1: [105.8 ~ 108.7],1926,0,0.0,1926,1926,호퍼온도,금형온도1
호퍼온도: [29.5 ~ 30.7],사출압력4: [2.6990000000000003 ~ 3.1],1921,0,0.0,1921,1921,호퍼온도,사출압력4
배럴온도4: [43.3 ~ 45.2],호퍼온도: [32.8 ~ 35.7],1910,0,0.0,1910,1910,배럴온도4,호퍼온도
최대사출속도 = 280.0,금형하판온도: [20.4 ~ 22.0],1905,0,0.0,1905,1905,최대사출속도,금형하판온도
히터온도2 = 223,금형하판온도: [0.999 ~ 19.0],1892,0,0.0,1892,1892,히터온도2,금형하판온도
사출압력4: [3.1 ~ 3.2],사출거리1 = 25,1867,0,0.0,1867,1867,사출압력4,사출거리1
배럴온도4: [43.3 ~ 45.2],금형온도1: [105.8 ~ 108.7],1839,0,0.0,1839,1839,배럴온도4,금형온도1
배럴온도4: [43.3 ~ 45.2],호퍼온도: [31.8 ~ 32.8],1822,0,0.0,1822,1822,배럴온도4,호퍼온도
쿠션위치: [2.09 ~ 2.12],사출압력4: [2.6990000000000003 ~ 3.1],1819,0,0.0,1819,1819,쿠션위치,사출압력4
쿠션위치: [2.04 ~ 2.06],금형하판온도: [22.0 ~ 27.0],1817,0,0.0,1817,1817,쿠션위치,금형하판온도
평균배압: [136.0 ~ 145.0],배럴온도4: [45.2 ~ 50.4],1778,0,0.0,1778,1778,평균배압,배럴온도4
배럴온도3: [223.0 ~ 223.3],금형하판온도: [20.4 ~ 22.0],1745,0,0.0,1745,1745,배럴온도3,금형하판온도
쿠션위치: [1.5890000000000002 ~ 2.0],금형온도1: [98.2 ~ 99.9],1738,0,0.0,1738,1738,쿠션위치,금형온도1
강제후퇴위치2 = 3.0,호퍼수분율: [2.0 ~ 27.0],1735,0,0.0,1735,1735,강제후퇴위치2,호퍼수분율
