cond1,cond2,total,defects,defect_rate_pct,lift_vs_avg,excess_defects_vs_avg,reliability,var1,var2,rank_score
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE2=(0.999, 19.0]",2399,1085,45.22717799082952,8.903733563227103,963.1410076688381,high,S_Inj_Pressure_04,VALUE2,2208.3973946893493
"A_Hopper_Temperature=(15.299000000000001, 23.8]","S_Inj_Pressure_04=(3.5, 4.0]",2265,971,42.86975717439294,8.439635474900376,855.9476375030923,high,A_Hopper_Temperature,S_Inj_Pressure_04,1921.5317145033473
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","S_Inj_Pressure_04=(3.5, 4.0]",1879,931,49.54763171899947,9.75428782234264,835.5547950853468,high,A_Barrel_Temperature_4,S_Inj_Pressure_04,1984.6971000582766
"VALUE2=(0.999, 19.0]","VALUE3=(82.5, 512.0]",875,863,98.62857142857143,19.41669944341373,818.5537230972211,medium,VALUE2,VALUE3,2469.0471143258246
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE3=(82.5, 512.0]",874,862,98.62700228832952,19.416390531665133,817.6045188422528,medium,S_Inj_Pressure_04,VALUE3,2466.171608332308
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE1=(30.999, 35.0]",2688,880,32.73809523809524,6.445046768707483,743.4610373546632,high,S_Inj_Pressure_04,VALUE1,1492.534423428621
"A_Hopper_Temperature=(15.299000000000001, 23.8]","VALUE2=(0.999, 19.0]",4837,984,20.34318792640066,4.004899999731507,738.3009812814381,high,A_Hopper_Temperature,VALUE2,1188.9727706830208
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","VALUE3=(82.5, 512.0]",981,786,80.1223241590214,15.773432225267088,736.1693741238558,medium,A_Barrel_Temperature_4,VALUE3,2075.847618058554
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","VALUE2=(0.999, 19.0]",4761,973,20.436883007771474,4.023345458364362,731.161457903851,high,A_Barrel_Temperature_4,VALUE2,1180.164885244622
"VALUE1=(30.999, 35.0]","VALUE3=(82.5, 512.0]",2711,863,31.83327185540391,6.266917009585767,725.292735218933,high,VALUE1,VALUE3,1438.496386426309
"A_Hopper_Temperature=(15.299000000000001, 23.8]","VALUE3=(82.5, 512.0]",820,757,92.31707317073172,18.17417445359519,715.3474890739672,medium,A_Hopper_Temperature,VALUE3,2112.824800858265
"A_Hopper_Temperature=(15.299000000000001, 23.8]","VALUE1=(30.999, 35.0]",3280,864,26.34146341463415,5.185761799176434,697.3899562958687,high,A_Hopper_Temperature,VALUE1,1270.818964382706
"VALUE1=(30.999, 35.0]","VALUE2=(0.999, 19.0]",4056,899,22.164694280078894,4.36349427815774,692.9724581512328,high,VALUE1,VALUE2,1163.927406687697
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","VALUE1=(30.999, 35.0]",2789,821,29.437074220150595,5.7951850498014,679.3306671064566,high,A_Barrel_Temperature_4,VALUE1,1301.7431254657208
"A_Average_Back_Pressure=(112.0, 117.0]","S_Inj_Pressure_04=(3.4, 3.5]",714,703,98.45938375350141,19.383391993160902,666.7318380473324,medium,A_Average_Back_Pressure,S_Inj_Pressure_04,2010.0101076900287
"A_Average_Back_Pressure=(112.0, 117.0]","A_Barrel_Temperature_4=(20.898999999999997, 32.6]",2205,764,34.64852607709751,6.821147333392232,651.9953822049971,high,A_Average_Back_Pressure,A_Barrel_Temperature_4,1341.0444845513175
"A_Average_Back_Pressure=(112.0, 117.0]","S_Inj_Pressure_04=(3.5, 4.0]",1319,691,52.388172858225936,10.313496302787435,624.0004123031252,high,A_Average_Back_Pressure,S_Inj_Pressure_04,1513.8227389401873
"A_Average_Back_Pressure=(112.0, 117.0]","VALUE2=(0.999, 19.0]",2050,726,35.41463414634146,6.971968641114983,621.868722684918,high,A_Average_Back_Pressure,VALUE2,1290.9568508309028
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","A_Hopper_Temperature=(15.299000000000001, 23.8]",5245,851,16.224976167778838,3.194160486796331,584.5763173084852,high,A_Barrel_Temperature_4,A_Hopper_Temperature,838.1030895769482
"A_Cushion_Position=(2.24, 15.07]","S_Inj_Pressure_04=(3.5, 4.0]",1139,642,56.36523266022827,11.096447669977083,584.1436464088398,high,A_Cushion_Position,S_Inj_Pressure_04,1456.2186056790651
"A_Mold_Temperature_1=(91.2, 95.4]","S_Inj_Pressure_04=(3.5, 4.0]",1171,628,53.62937660119555,10.557848214978872,568.5181825678238,high,A_Mold_Temperature_1,S_Inj_Pressure_04,1391.3713343634697
"A_Average_Back_Pressure=(112.0, 117.0]","A_Hopper_Temperature=(15.299000000000001, 23.8]",2139,672,31.416549789621318,6.184878235369119,563.3479013770924,high,A_Average_Back_Pressure,A_Hopper_Temperature,1110.9099902808525
"VALUE3=(82.5, 512.0]",VALUE5=18,569,559,98.24253075571178,19.340700819391508,530.0972210769357,medium,VALUE3,VALUE5,1596.9835285211134
"VALUE1=(30.999, 35.0]",VALUE5=18,1004,578,57.56972111553785,11.333571557924149,527.0010719881257,high,VALUE1,VALUE5,1323.9979361919882
"A_Mold_Temperature_1=(91.2, 95.4]","VALUE2=(0.999, 19.0]",1912,622,32.53138075313807,6.404351532358855,524.8785354992991,high,A_Mold_Temperature_1,VALUE2,1050.8424527792556
"A_Average_Back_Pressure=(112.0, 117.0]","VALUE1=(30.999, 35.0]",3698,711,19.22660897782585,3.7850825823716576,523.1573348725983,high,A_Average_Back_Pressure,VALUE1,819.0045254516136
