cond1,total,defects,defect_rate_pct,lift_vs_remaining,excess_defects_vs_remaining,var1
S_Barrel_Temperature_02=224,926,273,29.481641468682508,9.163192066585893,243.20688882038058,S_Barrel_Temperature_02
"S_Inj_Pressure_04=(3.4, 4.0]",6330,743,11.737756714060032,3.648213391240209,539.3386676382388,S_Inj_Pressure_04
"A_Cushion_Position=(2.09, 2.11]",5408,598,11.057692307692307,3.4368425020101845,424.0030828732379,A_Cushion_Position
"A_Average_Back_Pressure=(112.0, 117.0]",7872,800,10.16260162601626,3.1586392736749667,546.72638098708,A_Average_Back_Pressure
"A_Barrel_Temperature_3=(223.3, 225.5]",5752,579,10.066063977746872,3.1286343971253148,393.93523163588463,A_Barrel_Temperature_3
"A_Mold_Temperature_1=(103.8, 104.8]",7195,663,9.214732453092426,2.8640319569581085,431.5081696140803,A_Mold_Temperature_1
"A_Hopper_Temperature=(26.8, 27.8]",7156,506,7.070989379541643,2.197734948183148,275.7629550741291,A_Hopper_Temperature
"A_Hopper_Temperature=(28.6, 29.6]",7033,469,6.668562491113322,2.072656604925213,242.72035537120598,A_Hopper_Temperature
"A_Barrel_Temperature_3=(223.0, 223.3]",6093,386,6.335138683735433,1.9690251165014285,189.96390235699673,A_Barrel_Temperature_3
"A_Cushion_Position=(2.11, 2.15]",7921,496,6.261835626814796,1.9462417857175849,241.14985566548023,A_Cushion_Position
"A_Cushion_Position=(2.15, 2.18]",6781,420,6.193776729096004,1.9250883926034366,201.8281998822903,A_Cushion_Position
"A_Barrel_Temperature_4=(36.6, 38.0]",6798,412,6.0606060606060606,1.8836976032097983,193.28124211765368,A_Barrel_Temperature_4
"A_Mold_Temperature_1=(102.6, 103.8]",7041,416,5.908251668797046,1.8363443187660924,189.4629634819652,A_Mold_Temperature_1
"A_Average_Back_Pressure=(132.0, 133.0]",6116,355,5.804447351209941,1.8040808879662187,158.22390067542952,A_Average_Back_Pressure
"A_Barrel_Temperature_4=(40.7, 41.9]",7250,411,5.668965517241379,1.7619717649885855,177.73860037555002,A_Barrel_Temperature_4
"A_Hopper_Temperature=(29.6, 30.9]",7425,414,5.575757575757575,1.7330017949530143,175.10815279840813,A_Hopper_Temperature
"A_Barrel_Temperature_4=(35.0, 36.6]",7221,401,5.553247472649217,1.726005427452933,168.67164597404783,A_Barrel_Temperature_4
"VALUE2=(3.999, 20.0]",9867,536,5.43224891050978,1.6883978517064413,218.53927860766237,VALUE2
"S_Inj_Pressure_04=(3.2, 3.3]",16998,853,5.0182374396987885,1.5597189031872167,306.1065833356689,S_Inj_Pressure_04
S_Barrel_Temperature_02=223,19327,953,4.930925648057123,1.5325815161004024,331.17336958044905,S_Barrel_Temperature_02
S_Inj_Pressure_01=7.5,16631,815,4.900487042270458,1.5231208898541135,279.9144362545893,S_Inj_Pressure_01
A_Max_Injection_Speed=350.1,44885,2174,4.843488916118971,1.5054052963069773,729.8706314284914,A_Max_Injection_Speed
"A_Average_Back_Pressure=(133.0, 135.0]",6988,331,4.7366914710933035,1.4722115712550536,106.16818474818533,A_Average_Back_Pressure
VALUE5=20,23156,1092,4.71584038694075,1.4657308436100427,346.9791765925843,VALUE5
"A_Average_Back_Pressure=(130.0, 132.0]",9819,453,4.6135044301863735,1.4339237941940766,137.08362994310698,A_Average_Back_Pressure
"VALUE1=(38.4, 40.0]",4702,207,4.402381965121225,1.3683047987586274,55.717917098736024,VALUE1
"A_Barrel_Temperature_4=(39.5, 40.7]",6952,280,4.027617951668585,1.2518243565634737,56.32644824976879,A_Barrel_Temperature_4
S_Suckback_Position_02=3.0,25871,1019,3.9387731436743847,1.2242104925038826,186.62680418149716,S_Suckback_Position_02
"A_Barrel_Temperature_4=(38.0, 39.5]",7485,294,3.927855711422846,1.2208172442445868,53.17771362910233,A_Barrel_Temperature_4
"VALUE1=(40.0, 48.0]",5122,199,3.885201093322921,1.2075597579342783,34.204842913595485,VALUE1
S_Inj_Position_01=25,58170,2243,3.855939487708441,1.1984649552345372,371.4392253580338,S_Inj_Position_01
S_Inj_Velocity_04=10.0,41520,1597,3.846339113680154,1.195481061979282,261.13609484039125,S_Inj_Velocity_04
"VALUE4=(2.0, 5.0]",2187,82,3.7494284407864655,1.1653602456071592,11.635492278803852,VALUE4
"A_Hopper_Temperature=(27.8, 28.6]",7144,267,3.737402015677491,1.1616223111619213,37.149042907990264,A_Hopper_Temperature
"A_Cushion_Position=(1.99, 2.04]",7812,284,3.6354326676907323,1.12992920745534,32.65682015638578,A_Cushion_Position
"A_Barrel_Temperature_4=(20.898999999999997, 32.8]",7180,258,3.5933147632311977,1.1168385371677034,26.990779406406773,A_Barrel_Temperature_4
"VALUE1=(36.0, 38.4]",52287,1760,3.3660374471665997,1.046198450804455,77.71878590846677,VALUE1
"VALUE3=(31.599, 82.5]",69154,2296,3.3201260953813225,1.031928738756977,71.04016143045328,VALUE3
S_Hid_Time_01=1.0,71230,2296,3.223360943422715,1.001853151761898,4.246966172472639,S_Hid_Time_01
A_Mold_Temperature_2=0,71361,2295,3.216042376087779,0.9995784670835195,-0.9678260138448422,A_Mold_Temperature_2
"VALUE4=(0.399, 2.0]",69175,2214,3.20057824358511,0.9947720584439051,-11.635492278803667,VALUE4
"VALUE2=(22.0, 27.0]",6366,203,3.188815582783538,0.991116104610622,-1.819595863344631,VALUE2
"A_Barrel_Temperature_3=(222.7, 223.0]",7695,242,3.1448992852501627,0.97746647558372,-5.578823463467927,A_Barrel_Temperature_3
"A_Mold_Temperature_1=(104.8, 105.8]",6670,208,3.1184407796101947,0.9692429046800641,-6.600487654493975,A_Mold_Temperature_1
"VALUE2=(20.0, 20.4]",48196,1483,3.0770188397377374,0.9563685472184861,-67.65743673103316,VALUE2
"A_Mold_Temperature_1=(61.599000000000004, 91.6]",7225,217,3.003460207612457,0.9335057810785721,-15.45704997057257,A_Mold_Temperature_1
VALUE5=21,31616,904,2.8593117408906883,0.8887029810689951,-113.21274627953244,VALUE5
S_Suckback_Position_02=2.0,45396,1277,2.8130231738479163,0.8743160267079051,-183.57027549676286,S_Suckback_Position_02
S_Inj_Pressure_01=8.0,54047,1478,2.73465687272189,0.8499589884633254,-260.9074297245031,S_Inj_Pressure_01
S_Inj_Velocity_04=11.0,25324,675,2.6654556942031276,0.8284505629343362,-139.77402539166496,S_Inj_Velocity_04
"A_Barrel_Temperature_4=(32.8, 35.0]",7350,182,2.4761904761904763,0.7696250207400034,-54.478798239959644,A_Barrel_Temperature_4
"A_Average_Back_Pressure=(135.0, 136.0]",4788,118,2.4644945697577274,0.765989814839072,-36.049045710602286,A_Average_Back_Pressure
"A_Mold_Temperature_1=(100.0, 101.4]",7126,171,2.3996632051641873,0.7458395716329561,-58.271825341218005,A_Mold_Temperature_1
"A_Mold_Temperature_1=(101.4, 102.6]",7395,174,2.3529411764705883,0.7313178930108629,-63.92662761693899,A_Mold_Temperature_1
"A_Cushion_Position=(2.06, 2.07]",4687,110,2.3469170044804777,0.7294455194849122,-40.79947310893752,A_Cushion_Position
"A_Average_Back_Pressure=(136.0, 145.0]",6156,144,2.3391812865497075,0.7270411801862379,-54.06305877077435,A_Average_Back_Pressure
"A_Barrel_Temperature_3=(219.999, 221.8]",12859,294,2.286336418072945,0.7106164610911215,-119.72528796838651,A_Barrel_Temperature_3
"S_Inj_Pressure_04=(3.3, 3.4]",29233,654,2.237197687544898,0.6953436471192466,-286.54213727193735,S_Inj_Pressure_04
"A_Barrel_Temperature_3=(221.8, 221.9]",5225,116,2.2200956937799043,0.6900281746494841,-52.109077660379455,A_Barrel_Temperature_3
VALUE5=19,3753,83,2.2115640820676794,0.6873764635214012,-37.74897004007735,VALUE5
"A_Mold_Temperature_1=(95.7, 98.5]",7284,161,2.2103239978034046,0.6869910328015965,-73.35531515372327,A_Mold_Temperature_1
"A_Barrel_Temperature_3=(221.9, 222.0]",9952,214,2.15032154340836,0.6683416636790391,-106.19551021552087,A_Barrel_Temperature_3
S_Barrel_Temperature_02=222,50460,1069,2.1185097106619106,0.6584542246178365,-554.4993413861719,S_Barrel_Temperature_02
"A_Barrel_Temperature_3=(222.3, 222.7]",8763,184,2.099737532808399,0.652619642056938,-97.94064067711105,A_Barrel_Temperature_3
VALUE5=22,10182,203,1.9937143979571792,0.6196665804312728,-124.59552703119306,VALUE5
"A_Barrel_Temperature_3=(222.0, 222.1]",7017,139,1.9809035200228018,0.6156848301213728,-86.76486085031249,A_Barrel_Temperature_3
"A_Mold_Temperature_1=(91.6, 95.7]",7119,141,1.9806152549515381,0.6155952344244411,-88.04660743813233,A_Mold_Temperature_1
"A_Mold_Temperature_1=(98.5, 100.0]",7181,142,1.9774404679014066,0.6146084785295304,-89.04139457974833,A_Mold_Temperature_1
"A_Hopper_Temperature=(32.8, 35.7]",7055,135,1.9135364989369241,0.5947464792558222,-91.98747232420615,A_Hopper_Temperature
"A_Cushion_Position=(2.24, 15.07]",5935,111,1.8702611625947767,0.581296067443765,-79.95260783049801,A_Cushion_Position
"A_Barrel_Temperature_3=(222.2, 222.3]",3251,59,1.8148262073208243,0.5640663232004732,-45.59762899021888,A_Barrel_Temperature_3
"A_Hopper_Temperature=(30.9, 31.8]",6754,118,1.7471128220313887,0.5430203188406096,-99.30310249152208,A_Hopper_Temperature
"A_Barrel_Temperature_3=(222.1, 222.2]",4755,83,1.7455310199789693,0.542528678779352,-69.9873041674841,A_Barrel_Temperature_3
"A_Hopper_Temperature=(25.6, 26.8]",7370,128,1.7367706919945727,0.5398058803228079,-109.12227796306155,A_Hopper_Temperature
"A_Hopper_Temperature=(15.299000000000001, 24.1]",7491,117,1.5618742490989186,0.4854462986245515,-124.01533028782825,A_Hopper_Temperature
"A_Hopper_Temperature=(31.8, 32.8]",7046,101,1.43343741129719,0.4455268316419428,-125.69790644881027,A_Hopper_Temperature
"VALUE1=(30.999, 36.0]",9251,130,1.4052534861096098,0.4367669829083361,-167.6415459207982,VALUE1
"A_Cushion_Position=(2.07, 2.09]",8093,113,1.396268380081552,0.4339743211645458,-147.3840699531964,A_Cushion_Position
"VALUE2=(20.4, 22.0]",6933,74,1.0673590076445982,0.3317459647366455,-149.06224601328438,VALUE2
"A_Cushion_Position=(2.04, 2.06]",9947,95,0.9550618276867398,0.29684286649556235,-225.03464028474536,A_Cushion_Position
"A_Cushion_Position=(2.18, 2.24]",7593,69,0.9087317265902806,0.2824430029309042,-175.2970768756481,A_Cushion_Position
S_Inj_Position_01=29,2752,20,0.7267441860465116,0.22587943643140748,-68.5428098988257,S_Inj_Position_01
"A_Barrel_Temperature_4=(41.9, 43.4]",7145,45,0.6298110566829951,0.19575164036155007,-184.88313107816484,A_Barrel_Temperature_4
"A_Hopper_Temperature=(24.1, 25.6]",6888,41,0.5952380952380952,0.18500601460096233,-180.61441663630504,A_Hopper_Temperature
"A_Average_Back_Pressure=(117.0, 122.0]",7387,40,0.5414918099363747,0.16830112604825598,-197.6692357276982,A_Average_Back_Pressure
S_Inj_Velocity_04=9.0,4296,23,0.5353817504655494,0.16640205782544656,-115.21944452229476,S_Inj_Velocity_04
A_Max_Injection_Speed=349.9,21026,111,0.5279178160372872,0.1640821915855962,-565.4902328970601,A_Max_Injection_Speed
"A_Average_Back_Pressure=(125.0, 130.0]",8635,35,0.4053271569195136,0.1259797760108464,-242.8223704492587,A_Average_Back_Pressure
"S_Inj_Pressure_04=(2.6990000000000003, 3.1]",12292,36,0.292873413602343,0.09102801629568989,-359.4826378184468,S_Inj_Pressure_04
