condition,total,defects,defect_rate_pct,lift_vs_avg,excess_defects_vs_avg,reliability,column,rank_score
"A_Average_Back_Pressure=(112.0, 117.0]",8653,1581,18.271119842829076,3.5969784145127957,1141.4644182402903,high,A_Average_Back_Pressure,1741.1889346723492
"S_Inj_Pressure_04=(3.5, 4.0]",4857,1282,26.394893967469628,5.196280505576367,1035.285066380803,high,S_Inj_Pressure_04,1888.307361942961
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]",7505,1169,15.57628247834777,3.066454182060445,787.7779335367362,high,A_Barrel_Temperature_4,1105.072363691589
"VALUE2=(0.999, 19.0]",7586,1141,15.04086475085684,2.9610481628837815,755.6634781891647,high,VALUE2,1040.1773352539326
"A_Hopper_Temperature=(15.299000000000001, 23.8]",7495,1118,14.916611074049365,2.936586728814881,737.2858909870538,high,A_Hopper_Temperature,1010.3132044930433
"VALUE1=(30.999, 35.0]",7374,1084,14.700298345538378,2.8940019161744144,709.4321761358951,high,VALUE1,964.4286323170074
"VALUE3=(82.5, 512.0]",3071,863,28.10159557147509,5.532273530767507,707.006267007504,high,VALUE3,1326.8775817982882
"S_Inj_Pressure_04=(3.4, 3.5]",2747,735,26.75646159446669,5.267461197339246,595.4640883977901,high,S_Inj_Pressure_04,1092.89773371837
S_Inj_Position_01=25,59509,3582,6.019257591288713,1.1849924806746464,559.1960089057479,high,S_Inj_Position_01,437.07452743509845
A_Max_Injection_Speed=350.1,45582,2871,6.298538896933,1.2399737208296508,555.628349962893,high,A_Max_Injection_Speed,448.0943360929272
VALUE5=18,2747,596,21.696396068438297,4.271301868862844,456.4640883977901,high,VALUE5,758.7699225287278
"A_Cushion_Position=(2.24, 15.07]",6579,755,11.475908192734458,2.259226276839136,420.81479343613427,high,A_Cushion_Position,497.18839826030893
"A_Mold_Temperature_1=(61.599000000000004, 91.2]",7387,794,10.748612427237038,2.1160458263815514,418.7718314504824,high,A_Mold_Temperature_1,475.9613373887095
"A_Mold_Temperature_1=(91.2, 95.4]",7307,764,10.455727384699603,2.058386460945651,392.8354910530222,high,A_Mold_Temperature_1,439.1458757917629
"A_Cushion_Position=(2.09, 2.12]",7317,716,9.78543118764521,1.9264273378664525,344.32753360270476,high,A_Cushion_Position,369.73282490249926
"VALUE1=(40.0, 99.0]",5518,595,10.782892352301559,2.1227944083824837,314.7090789148182,high,VALUE1,358.36811701885966
"A_Mold_Temperature_1=(103.7, 104.8]",7800,701,8.987179487179487,1.769278013653014,304.7931887523708,high,A_Mold_Temperature_1,310.458270433018
S_Suckback_Position_02=2.0,46796,2677,5.720574408069066,1.1261916533547658,299.9623154943515,high,S_Suckback_Position_02,226.27130033006418
"A_Barrel_Temperature_3=(223.3, 225.5]",5752,579,10.066063977746872,1.981674640554161,286.8228745773893,high,A_Barrel_Temperature_3,313.3497175591208
