cond1,cond2,cond3,total,defects,defect_rate_pct,lift_vs_avg,excess_defects_vs_avg,reliability,var1,var2,var3,rank_score
"A_Hopper_Temperature=(15.299000000000001, 23.8]","S_Inj_Pressure_04=(3.5, 4.0]","VALUE2=(0.999, 19.0]",2092,965,46.12810707456979,9.081096663852401,858.7353013935846,high,A_Hopper_Temperature,S_Inj_Pressure_04,VALUE2,1984.2470742805224
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","S_Inj_Pressure_04=(3.5, 4.0]","VALUE2=(0.999, 19.0]",1738,919,52.87686996547756,10.409704579080298,830.7169951348232,high,A_Barrel_Temperature_4,S_Inj_Pressure_04,VALUE2,2022.3508449108974
"VALUE1=(30.999, 35.0]","VALUE2=(0.999, 19.0]","VALUE3=(82.5, 512.0]",875,863,98.62857142857143,19.41669944341373,818.5537230972211,medium,VALUE1,VALUE2,VALUE3,2469.0471143258246
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE1=(30.999, 35.0]","VALUE3=(82.5, 512.0]",874,862,98.62700228832952,19.416390531665133,817.6045188422528,medium,S_Inj_Pressure_04,VALUE1,VALUE3,2466.171608332308
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE2=(0.999, 19.0]","VALUE3=(82.5, 512.0]",874,862,98.62700228832952,19.416390531665133,817.6045188422528,medium,S_Inj_Pressure_04,VALUE2,VALUE3,2466.171608332308
"S_Inj_Pressure_04=(3.5, 4.0]","VALUE1=(30.999, 35.0]","VALUE2=(0.999, 19.0]",2191,880,40.16430853491556,7.907022233813654,768.7065226354416,high,S_Inj_Pressure_04,VALUE1,VALUE2,1681.038157096848
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","VALUE2=(0.999, 19.0]","VALUE3=(82.5, 512.0]",798,786,98.49624060150376,19.39064788594864,745.4649954646657,medium,A_Barrel_Temperature_4,VALUE2,VALUE3,2247.633884117975
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","S_Inj_Pressure_04=(3.5, 4.0]","VALUE3=(82.5, 512.0]",797,785,98.49435382685068,19.390276442503545,744.5157912096973,medium,A_Barrel_Temperature_4,S_Inj_Pressure_04,VALUE3,2244.758398315681
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","VALUE1=(30.999, 35.0]","VALUE3=(82.5, 512.0]",975,786,80.61538461538461,15.8704995004995,736.4741485940464,medium,A_Barrel_Temperature_4,VALUE1,VALUE3,2080.9566860083764
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","A_Hopper_Temperature=(15.299000000000001, 23.8]","S_Inj_Pressure_04=(3.5, 4.0]",1657,812,49.00422450211225,9.647308937290834,727.8314504823946,high,A_Barrel_Temperature_4,A_Hopper_Temperature,S_Inj_Pressure_04,1721.544954405008
"A_Barrel_Temperature_4=(20.898999999999997, 32.6]","S_Inj_Pressure_04=(3.5, 4.0]","VALUE1=(30.999, 35.0]",1642,802,48.84287454323995,9.615544473796605,718.5933866578708,high,A_Barrel_Temperature_4,S_Inj_Pressure_04,VALUE1,1697.5470884620804
